GENESIS-Tabelle: Temporär
Gebietsfläche: Bundesländer, Stichtag;;;;;;;;;;;;;
Feststellung des Gebietsstands;;;;;;;;;;;;;
Gebietsfläche (qkm);;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007
Baden-Württemberg;35752,50;35751,76;35751,85;35751,63;35751,36;35751,36;35751,64;35751,64;35751,65;35751,64;35751,65;35751,50;35751,40
Bayern;70550,87;70550,87;70548,00;70547,96;70547,81;70547,85;70549,93;70549,32;70549,19;70549,44;70551,57;70551,57;70551,56
Berlin;890,82;890,85;890,77;890,22;891,41;891,69;891,76;891,75;891,75;891,82;891,85;891,02;891,02
Brandenburg;29478,73;29475,72;29475,84;29476,36;29476,77;29477,02;29476,16;29476,67;29477,16;29478,14;29478,61;29479,73;29480,33
Bremen;404,23;404,23;404,23;404,23;404,23;404,23;404,23;404,28;404,23;404,23;404,28;404,28;404,28
Hamburg;755,20;755,20;755,20;755,33;755,33;755,32;755,16;755,26;755,16;755,24;755,16;755,16;755,25
Hessen;21114,45;21114,45;21114,82;21114,82;21114,38;21114,38;21114,19;21114,88;21114,72;21114,79;21114,79;21114,69;21114,77
Mecklenburg-Vorpommern;23170,34;23170,24;23170,31;23171,04;23171,45;23172,52;23172,96;23173,46;23174,17;23178,53;23180,14;23182,38;23185,40
Niedersachsen;47610,55;47612,24;47613,35;47613,51;47614,27;47615,70;47616,48;47617,97;47618,24;47619,63;47624,20;47641,10;47625,43
Nordrhein-Westfalen;34077,70;34077,70;34078,68;34079,86;34080,01;34081,37;34081,87;34082,76;34083,52;34084,08;34085,29;34085,97;34086,48
Rheinland-Pfalz;19846,50;19846,50;19846,86;19846,86;19847,11;19846,99;19846,74;19846,91;19847,39;19853,48;19853,36;19853,40;19853,24
Saarland;2570,15;2570,15;2570,10;2570,19;2570,14;2568,51;2568,45;2568,53;2568,65;2568,69;2568,70;2568,65;2568,64
Sachsen;18412,66;18412,71;18412,16;18412,83;18412,88;18413,02;18413,30;18413,29;18413,91;18414,70;18415,51;18417,10;18418,04
Sachsen-Anhalt;20445,99;20447,46;20446,56;20446,83;20446,74;20446,49;20446,69;20444,72;20445,26;20445,73;20446,31;20446,57;20447,05
Schleswig-Holstein;15770,50;15770,47;15770,49;15768,80;15764,48;15763,11;15761,40;15762,90;15763,18;15763,42;15799,38;15798,99;15799,08
Thüringen;16171,12;16170,88;16171,57;16171,70;16171,85;16171,98;16171,94;16172,21;16172,14;16172,08;16172,10;16172,14;16172,10
Insgesamt;357022,31;357021,43;357020,79;357022,17;357020,22;357021,54;357022,90;357026,55;357030,32;357045,64;357092,90;357114,25;357104,07
_____
Gebietsfläche:
"Berlin (1995-2000): bezogen auf den Gebietsstand 01.01.2001;"
Rheinland-Pfalz: Landessumme ab 2004 einschl. des gemein-
"        schaftlichen deutsch-luxemburgischen Hoheitsgebiets;"
Sachsen (1995): bezogen auf den Gebietsstand 01.01.1996.
_____
(C)opyright Statistisches Bundesamt, Wiesbaden 2010
Stand: 22.04.2010 / 21:32:50

